slug_id,report_end_date
2056,10/15/2020
2056,10/08/2020
2056,10/01/2020
2056,11/19/2020
2056,11/12/2020
2056,11/05/2020
2056,12/17/2020
2056,12/10/2020
2056,12/03/2020
2056,01/30/2021
2056,01/23/2021
2056,01/16/2021
2056,01/09/2021
2056,02/27/2021
2056,02/20/2021
2056,02/13/2021
2056,02/06/2021
2056,03/27/2021
2056,03/20/2021
2056,03/13/2021
2056,03/06/2021
2056,04/24/2021
2056,04/17/2021
2056,04/10/2021
2056,04/03/2021
2056,05/29/2021
2056,05/22/2021
2056,05/15/2021
2056,05/08/2021
2056,05/01/2021
2056,06/26/2021
2056,06/19/2021
2056,06/12/2021
2056,06/05/2021
2056,07/31/2021
2056,07/24/2021
2056,07/17/2021
2056,07/10/2021
2056,07/03/2021
2056,08/28/2021
2056,08/21/2021
2056,08/14/2021
2056,08/07/2021
2056,09/25/2021
2056,09/18/2021
2056,09/11/2021
2056,09/04/2021
2056,10/30/2021
2056,10/23/2021
2056,10/16/2021
2056,10/09/2021
2056,10/02/2021
2056,11/20/2021
2056,11/13/2021
2056,11/06/2021
2056,12/18/2021
2056,12/11/2021
2056,12/04/2021
2056,01/29/2022
2056,01/22/2022
2056,01/15/2022
2056,01/08/2022
2056,02/26/2022
2056,02/19/2022
2056,02/12/2022
2056,02/05/2022
2056,03/26/2022
2056,03/19/2022
2056,03/12/2022
2056,03/05/2022
2056,04/30/2022
2056,04/23/2022
2056,04/16/2022
2056,04/09/2022
2056,04/02/2022
2056,05/28/2022
2056,05/21/2022
2056,05/14/2022
2056,05/07/2022
2056,06/25/2022
2056,06/18/2022
2056,06/11/2022
2056,06/04/2022
2056,07/30/2022
2056,07/23/2022
2056,07/16/2022
2056,07/09/2022
2056,07/02/2022
2056,08/27/2022
2056,08/20/2022
2056,08/13/2022
2056,08/06/2022
2056,09/24/2022
2056,09/17/2022
2056,09/10/2022
2056,09/03/2022
2056,10/29/2022
2056,10/22/2022
2056,10/15/2022
2056,10/08/2022
2056,10/01/2022
2056,11/19/2022
2056,11/12/2022
2056,11/05/2022
2056,12/17/2022
2056,12/10/2022
2056,12/03/2022
2056,01/28/2023
2056,01/21/2023
2056,01/14/2023
2056,01/07/2023
2056,02/25/2023
2056,02/18/2023
2056,02/11/2023
2056,02/04/2023
2056,03/25/2023
2056,03/18/2023
2056,03/11/2023
2056,03/04/2023
2056,04/29/2023
2056,04/22/2023
2056,04/15/2023
2056,04/08/2023
2056,04/01/2023
2056,05/27/2023
2056,05/20/2023
2056,05/13/2023
2056,05/06/2023
2056,06/24/2023
2056,06/17/2023
2056,06/10/2023
2056,06/03/2023
2056,07/29/2023
2056,07/22/2023
2056,07/15/2023
2056,07/08/2023
2056,07/01/2023
2056,08/26/2023
2056,08/19/2023
2056,08/12/2023
2056,08/05/2023
2056,09/30/2023
2056,09/23/2023
2056,09/16/2023
2056,09/09/2023
2056,09/02/2023
2056,10/28/2023
2056,10/21/2023
2056,10/14/2023
2056,10/07/2023
2056,11/25/2023
2056,11/18/2023
2056,11/11/2023
2056,11/04/2023
2056,12/23/2023
2056,12/16/2023
2056,12/09/2023
2056,12/02/2023
2056,01/27/2024
2056,01/20/2024
2056,01/13/2024
2056,01/06/2024
2056,02/24/2024
2056,02/17/2024
2056,02/10/2024
2056,02/03/2024
2056,03/09/2024
2056,03/02/2024
1907,01/30/2020
1907,01/23/2020
1907,01/16/2020
1907,01/09/2020
1907,02/27/2020
1907,02/20/2020
